date,Source,UNITONBT,SO2TONS,HEATINBA,NH3TONS,UNITONBA,HEAT_QA,HEATINBT,GFLOW_BA,NOXTONS,LOADMWBA,COTONS,LOADMWBT,Emissions_Load_SO2TONS,Emissions_Load_NOXTONS,Emissions_Load_COTONS,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
1/19/2023,LAKE-3,1139.0,0.003489853,585.25,0.027235081,56.95,11705.0,11705.0,5695.292611,0.064957283,59.96357276,0.017092916,1199.271455,5.8199550816758235e-05,0.001083279064441123,0.0002850549961126099,4.9,-2.1,10.6,0.0,0.0,81,5.4,1017.5
1/2/2022,LAKE-1,892.0,0.002493238,529.78125,0.005585712,55.75,8476.5,8476.5,5099.878831,0.046236116,53.80221457,0.009282219,860.8354331,4.634080622752329e-05,0.0008593719862561413,0.0001725248500305366,2.2,-4.3,6.7,0.0,0.0,9,7.9,1027.8
1/2/2022,LAKE-3,944.0,0.002523506,532.61875,0.024008812,59.0,8521.9,8521.9,5127.256015,0.050012858,53.69792374,0.009992988,859.1667799,4.6994479939644685e-05,0.0009313741485081859,0.0001860963572518195,2.2,-4.3,6.7,0.0,0.0,9,7.9,1027.8
1/2/2023,LAKE-1,781.0,0.002349849,574.2428571,0.009313261,55.78571429,8039.4,8039.4,5588.210079,0.044256684,61.37814627,0.021863572,859.2940478,3.8284782822588166e-05,0.0007210495378162224,0.00035621101855737097,11.2,4.4,14.4,2.0,0.0,289,21.6,1007.9
1/2/2023,LAKE-2,317.0,0.000728518,429.7833333,0.006733186,52.83333333,2578.7,2578.7,4182.545605,0.016031512,41.37756073,0.006983415,248.2653644,1.7606596115072635e-05,0.00038744458873760204,0.00016877299862040466,11.2,4.4,14.4,2.0,0.0,289,21.6,1007.9
1/2/2023,LAKE-3,1440.0,0.00464487,645.1208333,0.033575748,60.0,15482.9,15482.9,6277.88939,0.08617496,66.88705957,0.0359045,1605.28943,6.944347725644833e-05,0.0012883652017893598,0.0005367929197489164,11.2,4.4,14.4,2.0,0.0,289,21.6,1007.9
1/2/2023,LAKE-4,1137.0,0.003582869,603.03,0.018685621,56.85,12060.6,12060.6,5868.406504,0.069004398,64.98727562,0.048977572,1299.745512,5.513185413326301e-05,0.001061813983455612,0.0007536486417185185,11.2,4.4,14.4,2.0,0.0,289,21.6,1007.9
1/20/2022,LAKE-1,402.0,0.001210807,516.7375,0.001749808,50.25,4133.9,4133.9,4974.380598,0.022700319,55.1417786,0.003758495,441.1342288,2.1958069375731016e-05,0.00041167186797997116,6.816056890845374e-05,6.8,-1.0,9.4,0.0,0.0,76,9.7,1023.1
1/20/2022,LAKE-3,847.0,0.002455522,496.5,0.02118859,49.82352941,8440.5,8440.5,4779.518016,0.04782205,52.93116019,0.010160373,899.8297233,4.639085920629241e-05,0.0009034763233667937,0.00019195447376419957,6.8,-1.0,9.4,0.0,0.0,76,9.7,1023.1
1/20/2022,LAKE-4,1440.0,0.00480336,667.1333333,0.014276544,60.0,16011.2,16011.2,6422.166631,0.091918229,74.82833999,0.0474487,1795.88016,6.419172202192266e-05,0.0012283879211042752,0.0006341006630153897,6.8,-1.0,9.4,0.0,0.0,76,9.7,1023.1
1/20/2023,LAKE-1,1440.0,0.00461211,640.5708333,0.028671029,60.0,15373.7,15373.7,6233.609921,0.084547599,69.31427419,0.0362858,1663.542581,6.65391083423534e-05,0.0012197718289344464,0.000523496789428042,6.0,-4.3,17.8,0.0,0.0,313,13.0,1014.4
1/20/2023,LAKE-2,645.0,0.002113528,515.1857143,0.023426303,46.07142857,7212.6,7212.6,5013.480504,0.040976539,56.89991555,0.019548713,796.5988176,3.7144659698884206e-05,0.0007201511391346871,0.0003435631285396521,6.0,-4.3,17.8,0.0,0.0,313,13.0,1014.4
